,filebasename,structtype,event,freq
119,20220518_y200_d5mi10s_005_D3D_3DALIGN_predictc007_predict.tif,WT,Fusion,0.02666666666666667
120,20220518_y200_d5mi10s_005_D3D_3DALIGN_predictc008_predict.tif,WT,None,0.9754098360655737
121,20220518_y200_d5mi10s_005_D3D_3DALIGN_predictc008_predict.tif,WT,Fission,0.00819672131147541
122,20220518_y200_d5mi10s_005_D3D_3DALIGN_predictc008_predict.tif,WT,Fusion,0.01639344262295082
123,20220518_y200_d5mi10s_006_D3D_3DALIGN_predictc005_predict.tif,WT,None,0.9178082191780822
124,20220518_y200_d5mi10s_006_D3D_3DALIGN_predictc005_predict.tif,WT,Fission,0.0273972602739726
125,20220518_y200_d5mi10s_006_D3D_3DALIGN_predictc005_predict.tif,WT,Fusion,0.0547945205479452
126,20220518_y200_d5mi10s_006_D3D_3DALIGN_predictc006_predict.tif,WT,None,1.0
127,20220518_y200_d5mi10s_006_D3D_3DALIGN_predictc006_predict.tif,WT,Fission,0.0
128,20220518_y200_d5mi10s_006_D3D_3DALIGN_predictc006_predict.tif,WT,Fusion,0.0
129,20220518_y200_d5mi10s_006_D3D_3DALIGN_predictc007_predict.tif,WT,None,0.9904761904761905
130,20220518_y200_d5mi10s_006_D3D_3DALIGN_predictc007_predict.tif,WT,Fission,0.0
131,20220518_y200_d5mi10s_006_D3D_3DALIGN_predictc007_predict.tif,WT,Fusion,0.009523809523809525
132,20220518_y200_d5mi10s_006_D3D_3DALIGN_predictc008_predict.tif,WT,None,0.989010989010989
133,20220518_y200_d5mi10s_006_D3D_3DALIGN_predictc008_predict.tif,WT,Fission,0.01098901098901099
134,20220518_y200_d5mi10s_006_D3D_3DALIGN_predictc008_predict.tif,WT,Fusion,0.0
135,20220518_y200_d5mi10s_006_D3D_3DALIGN_predictc010_predict.tif,WT,None,0.9621212121212122
136,20220518_y200_d5mi10s_006_D3D_3DALIGN_predictc010_predict.tif,WT,Fission,0.022727272727272728
137,20220518_y200_d5mi10s_006_D3D_3DALIGN_predictc010_predict.tif,WT,Fusion,0.015151515151515152
138,20220518_y200_d5mi10s_006_D3D_3DALIGN_predictc013_predict.tif,WT,None,0.92
139,20220518_y200_d5mi10s_006_D3D_3DALIGN_predictc013_predict.tif,WT,Fission,0.02666666666666667
140,20220518_y200_d5mi10s_006_D3D_3DALIGN_predictc013_predict.tif,WT,Fusion,0.05333333333333334
141,20220518_y200_d5mi10s_006_D3D_3DALIGN_predictc019_predict.tif,WT,None,0.7619047619047619
142,20220518_y200_d5mi10s_006_D3D_3DALIGN_predictc019_predict.tif,WT,Fission,0.047619047619047616
143,20220518_y200_d5mi10s_006_D3D_3DALIGN_predictc019_predict.tif,WT,Fusion,0.19047619047619047
144,20220518_y200_d5mi10s_007_D3D_3DALIGN_predictc000_predict.tif,WT,None,1.0
145,20220518_y200_d5mi10s_007_D3D_3DALIGN_predictc000_predict.tif,WT,Fission,0.0
146,20220518_y200_d5mi10s_007_D3D_3DALIGN_predictc000_predict.tif,WT,Fusion,0.0
147,20220518_y200_d5mi10s_007_D3D_3DALIGN_predictc005_predict.tif,WT,None,0.7659574468085106
148,20220518_y200_d5mi10s_007_D3D_3DALIGN_predictc005_predict.tif,WT,Fission,0.06382978723404255
149,20220518_y200_d5mi10s_007_D3D_3DALIGN_predictc005_predict.tif,WT,Fusion,0.1702127659574468
150,20220518_y200_d5mi10s_007_D3D_3DALIGN_predictc007_predict.tif,WT,None,0.7653061224489796
151,20220518_y200_d5mi10s_007_D3D_3DALIGN_predictc007_predict.tif,WT,Fission,0.07142857142857142
152,20220518_y200_d5mi10s_007_D3D_3DALIGN_predictc007_predict.tif,WT,Fusion,0.16326530612244897
153,20220518_y200_d5mi10s_007_D3D_3DALIGN_predictc017_predict.tif,WT,None,0.9272727272727272
154,20220518_y200_d5mi10s_007_D3D_3DALIGN_predictc017_predict.tif,WT,Fission,0.024242424242424242
155,20220518_y200_d5mi10s_007_D3D_3DALIGN_predictc017_predict.tif,WT,Fusion,0.048484848484848485
156,20220518_y200_d5mi10s_008_D3D_3DALIGN_predictc000_predict.tif,WT,None,0.6666666666666666
