"timestamp","mNID","mMID","mHasAgg","mAggList","c1ID","c1MID","c1HasAgg","c1AggList","c2ID","c2MID","c2HasAgg","c2AggList","fpos2c1","fpos2c2","m_fpos2periph","m_agg2fpos","m_agg2periph","m_c1_agg2fpos","m_c2_agg2fpos","m_len","m_c1_len","m_c2_len","fileID","negneg","posneg","pospos","Type","fisRatio","fisRatio2"
7,22,22,TRUE,"[6]",26,26,TRUE,"[7]",23,23,FALSE,"[]",0.329848450049413,0,3.94978838432643,2.33655941457692,6.28634779890335,2.07714815960738,NA,8.67162824834145,4.54242860904548,4.39615443906578,"20210329_Tom70GFPMTSFlcMch_005y009",FALSE,TRUE,FALSE,"DUMP+/-",0.455484053422363,0.371687900402923
10,32,32,TRUE,"[9]",36,36,TRUE,"[10]",33,33,FALSE,"[]",0.25298221281347,0.08,3.98292546931628,2.30342232958707,6.28634779890335,2.15714815960738,NA,8.62476533333129,4.49556569403533,4.33556569403533,"20210329_Tom70GFPMTSFlcMch_005y009",FALSE,TRUE,FALSE,"DUMP+/-",0.461801024768042,0.366416622699257
38,115,115,TRUE,"[37]",118,118,TRUE,"[38]",117,117,FALSE,"[]",0.5,1.01587400793602,6.75361568942463,1.38635955604689,5.56684465917414,1.04,NA,9.27789591962867,7.15311882915383,1.8915546194178,"20210329_Tom70GFPMTSFlcMch_005y009",FALSE,TRUE,FALSE,"DUMP+/-",0.727925355913556,0.170314959719092
39,118,118,TRUE,"[38]",122,122,TRUE,"[39]",119,119,FALSE,"[]",0.506359556046887,0.24,6.2669365439338,3.76851900950585,1.3462741699797,3.92802214923506,NA,7.89203322385258,6.5727138536427,2.00518856467844,"20210329_Tom70GFPMTSFlcMch_005y009",FALSE,TRUE,FALSE,"DUMP+/-",0.794083902864581,0.375520472333136
23,59,60,TRUE,"[45]",63,64,TRUE,"[47]",64,65,FALSE,"[]",0,0.506359556046887,4.02879466378484,1.81724004436704,1.37891439469875,1.86410295937719,NA,7.82513287236994,4.06193174877468,3.4773319291267,"20210329_Tom70GFPMTSFlcMch_005y010",FALSE,TRUE,FALSE,"DUMP+/-",0.514853195401992,0.31085002657152
33,100,101,TRUE,"[65]",104,105,TRUE,"[67]",105,106,FALSE,"[]",0.08,0.08,4.34829780351404,2.21674318409624,1.3457773097089,2.10360609910639,NA,6.99249264765089,4.30143488850389,3.171057759147,"20210329_Tom70GFPMTSFlcMch_005y010",FALSE,TRUE,FALSE,"DUMP+/-",0.621852324002777,0.337658696766667
10,9,10,TRUE,"[13]",11,12,TRUE,"[14]",10,11,FALSE,"[]",0.25298221281347,0,3.63832564966829,0.16,2.53254833995939,0,NA,6.4088865485445,3.91841103573548,3.03741731519389,"20210329_Tom70GFPMTSFlcMch_005y011",FALSE,TRUE,FALSE,"DUMP+/-",0.567700117970505,0.0421238236942567
14,17,18,TRUE,"[17]",20,21,TRUE,"[18]",18,19,FALSE,"[]",0.54881690936049,0.178885438199983,2.19882250993909,1.52568542494924,0,1.31882250993909,NA,3.75146273465814,3.06360609910639,1.5857773097089,"20210329_Tom70GFPMTSFlcMch_005y011",FALSE,TRUE,FALSE,"DUMP+/-",0.58612404426282,0.409634091703173
20,28,29,TRUE,"[24]",30,31,TRUE,"[25]",29,30,FALSE,"[]",0.08,0.4,4.24419484413685,0,2.99832564966829,0,NA,7.32152677326355,4.7431092388356,3.03791417546469,"20210329_Tom70GFPMTSFlcMch_005y011",FALSE,TRUE,FALSE,"DUMP+/-",0.579687130235681,0
27,40,41,TRUE,"[34]",42,43,TRUE,"[36]",41,42,FALSE,"[]",0.24,0,5.93457197349374,0.746359556046886,3.46459981964799,0.506359556046887,NA,7.47348636819248,6.11348636819248,1.53891439469875,"20210329_Tom70GFPMTSFlcMch_005y011",FALSE,TRUE,FALSE,"DUMP+/-",0.794083468025253,0.111714893760961
