"X","mitoType","freq","placeholder"
344,"DUMP+",69.8305084745763,"X"
345,"DUMP-",30.1694915254237,"X"
346,"DUMP+",72.2033898305085,"X"
347,"DUMP-",27.7966101694915,"X"
348,"DUMP+",72.2033898305085,"X"
349,"DUMP-",27.7966101694915,"X"
350,"DUMP+",69.8305084745763,"X"
351,"DUMP-",30.1694915254237,"X"
352,"DUMP+",64.7457627118644,"X"
353,"DUMP-",35.2542372881356,"X"
354,"DUMP+",69.4915254237288,"X"
355,"DUMP-",30.5084745762712,"X"
356,"DUMP+",70.8474576271186,"X"
357,"DUMP-",29.1525423728814,"X"
358,"DUMP+",67.4576271186441,"X"
359,"DUMP-",32.5423728813559,"X"
360,"DUMP+",70.8474576271186,"X"
361,"DUMP-",29.1525423728814,"X"
362,"DUMP+",69.4915254237288,"X"
363,"DUMP-",30.5084745762712,"X"
364,"DUMP+",73.8983050847458,"X"
365,"DUMP-",26.1016949152542,"X"
366,"DUMP+",67.4576271186441,"X"
367,"DUMP-",32.5423728813559,"X"
368,"DUMP+",71.1864406779661,"X"
369,"DUMP-",28.8135593220339,"X"
370,"DUMP+",74.5762711864407,"X"
371,"DUMP-",25.4237288135593,"X"
372,"DUMP+",69.1525423728814,"X"
373,"DUMP-",30.8474576271186,"X"
374,"DUMP+",73.8983050847458,"X"
375,"DUMP-",26.1016949152542,"X"
376,"DUMP+",71.1864406779661,"X"
377,"DUMP-",28.8135593220339,"X"
378,"DUMP+",71.1864406779661,"X"
379,"DUMP-",28.8135593220339,"X"
380,"DUMP+",75.593220338983,"X"
381,"DUMP-",24.406779661017,"X"
382,"DUMP+",66.7796610169491,"X"
383,"DUMP-",33.2203389830508,"X"
384,"DUMP+",68.4745762711864,"X"
385,"DUMP-",31.5254237288136,"X"
386,"DUMP+",68.4745762711864,"X"
387,"DUMP-",31.5254237288136,"X"
388,"DUMP+",75.593220338983,"X"
389,"DUMP-",24.406779661017,"X"
390,"DUMP+",70.8474576271186,"X"
391,"DUMP-",29.1525423728814,"X"
392,"DUMP+",67.1186440677966,"X"
393,"DUMP-",32.8813559322034,"X"
394,"DUMP+",73.8983050847458,"X"
395,"DUMP-",26.1016949152542,"X"
396,"DUMP+",73.2203389830509,"X"
397,"DUMP-",26.7796610169492,"X"
398,"DUMP+",70.5084745762712,"X"
399,"DUMP-",29.4915254237288,"X"
