"filebasename","normalized_bias","placeholder"
"20220518_y200_d5mi10s_008_D3D_3DALIGN_predictc000_predict.tif",0.598736126465203,"x"
"20220518_y200_d5mi10s_008_D3D_3DALIGN_predictc000_predict.tif",0.665168183367135,"x"
"20220518_y200_d5mi10s_008_D3D_3DALIGN_predictc001_predict.tif",0.684124114164266,"x"
"20220518_y200_d5mi10s_008_D3D_3DALIGN_predictc001_predict.tif",0.62333632509861,"x"
"20220518_y200_d5mi10s_008_D3D_3DALIGN_predictc001_predict.tif",0.620536843952669,"x"
"20220518_y200_d5mi10s_008_D3D_3DALIGN_predictc003_predict.tif",0.352189559903864,"x"
"20220518_y200_d5mi10s_008_D3D_3DALIGN_predictc003_predict.tif",0.759116458297494,"x"
"20220518_y200_d5mi10s_008_D3D_3DALIGN_predictc003_predict.tif",0.752166077345946,"x"
"20220518_y200_d5mi10s_008_D3D_3DALIGN_predictc003_predict.tif",0.865770036651235,"x"
"20220518_y200_d5mi10s_008_D3D_3DALIGN_predictc005_predict.tif",0.532732039271721,"x"
"20220518_y200_d5mi10s_008_D3D_3DALIGN_predictc005_predict.tif",0.502725541732089,"x"
"20220518_y200_d5mi10s_008_D3D_3DALIGN_predictc008_predict.tif",0.729300050410156,"x"
"20220518_y200_d5mi10s_008_D3D_3DALIGN_predictc008_predict.tif",0.500000000000001,"x"
"20220518_y200_d5mi10s_008_D3D_3DALIGN_predictc008_predict.tif",0.765544466385379,"x"
"20220518_y200_d5mi10s_008_D3D_3DALIGN_predictc008_predict.tif",0.878440665796131,"x"
"20220518_y200_d5mi10s_008_D3D_3DALIGN_predictc008_predict.tif",0.90103726726621,"x"
"20220518_y200_d5mi10s_008_D3D_3DALIGN_predictc008_predict.tif",0.363412449241099,"x"
"20220518_y200_d5mi10s_008_D3D_3DALIGN_predictc008_predict.tif",0.708926663155691,"x"
"20220518_y200_d5mi10s_008_D3D_3DALIGN_predictc011_predict.tif",0.873916723984689,"x"
"20220518_y200_d5mi10s_008_D3D_3DALIGN_predictc011_predict.tif",0.430421910158528,"x"
"20220518_y200_d5mi10s_008_D3D_3DALIGN_predictc011_predict.tif",0.396873537441103,"x"
"20220518_y200_d5mi10s_008_D3D_3DALIGN_predictc011_predict.tif",0.0103818845506726,"x"
"20220518_y200_d5mi10s_008_D3D_3DALIGN_predictc011_predict.tif",0.456544113808061,"x"
"20220518_y200_d5mi10s_009_D3D_3DALIGN_predictc001_predict.tif",0,"x"
"20220518_y200_d5mi10s_009_D3D_3DALIGN_predictc001_predict.tif",0.411171051141087,"x"
"20220518_y200_d5mi10s_009_D3D_3DALIGN_predictc001_predict.tif",0.713178619888697,"x"
"20220518_y200_d5mi10s_009_D3D_3DALIGN_predictc001_predict.tif",0.238426192508085,"x"
"20220518_y200_d5mi10s_009_D3D_3DALIGN_predictc001_predict.tif",0.830114848772521,"x"
"20220518_y200_d5mi10s_009_D3D_3DALIGN_predictc002_predict.tif",0.588779008027221,"x"
"20220518_y200_d5mi10s_009_D3D_3DALIGN_predictc002_predict.tif",0.113039419163471,"x"
"20220518_y200_d5mi10s_009_D3D_3DALIGN_predictc002_predict.tif",0.450843245276886,"x"
"20220518_y200_d5mi10s_009_D3D_3DALIGN_predictc002_predict.tif",0.631516209221577,"x"
"20220518_y200_d5mi10s_009_D3D_3DALIGN_predictc004_predict.tif",1,"x"
"20220526_y200_d5mi10s_000_D3D_3DALIGN_predictc001_predict.tif",0.780763101959428,"x"
"20220526_y200_d5mi10s_000_D3D_3DALIGN_predictc001_predict.tif",0.121666761798082,"x"
"20220526_y200_d5mi10s_000_D3D_3DALIGN_predictc001_predict.tif",0.731985173054915,"x"
"20220526_y200_d5mi10s_000_D3D_3DALIGN_predictc005_predict.tif",0.920955933359397,"x"
"20220526_y200_d5mi10s_000_D3D_3DALIGN_predictc005_predict.tif",0.929094562214416,"x"
"20220526_y200_d5mi10s_000_D3D_3DALIGN_predictc005_predict.tif",0.653181617048682,"x"
"20220526_y200_d5mi10s_000_D3D_3DALIGN_predictc008_predict.tif",1,"x"
